,Order Date,Segment,Region,Category,Sub-Category,Sales,Day of Week,Day,Year,Month,Season
0,2017-11-08,Consumer,South,Furniture,Bookcases,261.96,2,8,2017,11,Autumn
1,2017-11-08,Consumer,South,Furniture,Chairs,731.94,2,8,2017,11,Autumn
2,2017-06-12,Corporate,West,Office Supplies,Labels,14.62,0,12,2017,6,Summer
3,2016-10-11,Consumer,South,Furniture,Tables,957.5775,1,11,2016,10,Autumn
4,2016-10-11,Consumer,South,Office Supplies,Storage,22.368,1,11,2016,10,Autumn
5,2015-06-09,Consumer,West,Furniture,Furnishings,48.86,1,9,2015,6,Summer
6,2015-06-09,Consumer,West,Office Supplies,Art,7.28,1,9,2015,6,Summer
7,2015-06-09,Consumer,West,Technology,Phones,907.152,1,9,2015,6,Summer
8,2015-06-09,Consumer,West,Office Supplies,Binders,18.504,1,9,2015,6,Summer
9,2015-06-09,Consumer,West,Office Supplies,Appliances,114.9,1,9,2015,6,Summer
10,2015-06-09,Consumer,West,Furniture,Tables,1706.184,1,9,2015,6,Summer
11,2015-06-09,Consumer,West,Technology,Phones,911.424,1,9,2015,6,Summer
12,2018-04-15,Consumer,South,Office Supplies,Paper,15.552,6,15,2018,4,Spring
13,2017-12-05,Consumer,West,Office Supplies,Binders,407.976,1,5,2017,12,Winter
14,2016-11-22,Home Office,Central,Office Supplies,Appliances,68.81,1,22,2016,11,Autumn
15,2016-11-22,Home Office,Central,Office Supplies,Binders,2.544,1,22,2016,11,Autumn
16,2015-11-11,Consumer,Central,Office Supplies,Storage,665.88,2,11,2015,11,Autumn
17,2015-05-13,Consumer,West,Office Supplies,Storage,55.5,2,13,2015,5,Spring
18,2015-08-27,Consumer,West,Office Supplies,Art,8.56,3,27,2015,8,Summer
19,2015-08-27,Consumer,West,Technology,Phones,213.48,3,27,2015,8,Summer
20,2015-08-27,Consumer,West,Office Supplies,Binders,22.72,3,27,2015,8,Summer
21,2017-12-09,Corporate,Central,Office Supplies,Art,19.46,5,9,2017,12,Winter
22,2017-12-09,Corporate,Central,Office Supplies,Appliances,60.34,5,9,2017,12,Winter
23,2018-07-16,Consumer,East,Furniture,Chairs,71.372,0,16,2018,7,Summer
24,2016-09-25,Consumer,West,Furniture,Tables,1044.63,6,25,2016,9,Autumn
25,2017-01-16,Consumer,West,Office Supplies,Binders,11.648,0,16,2017,1,Winter
26,2017-01-16,Consumer,West,Technology,Accessories,90.57,0,16,2017,1,Winter
27,2016-09-17,Consumer,East,Furniture,Bookcases,3083.43,5,17,2016,9,Autumn
28,2016-09-17,Consumer,East,Office Supplies,Binders,9.618,5,17,2016,9,Autumn
29,2016-09-17,Consumer,East,Furniture,Furnishings,124.2,5,17,2016,9,Autumn
30,2016-09-17,Consumer,East,Office Supplies,Envelopes,3.264,5,17,2016,9,Autumn
31,2016-09-17,Consumer,East,Office Supplies,Art,86.304,5,17,2016,9,Autumn
32,2016-09-17,Consumer,East,Office Supplies,Binders,6.858,5,17,2016,9,Autumn
33,2016-09-17,Consumer,East,Office Supplies,Art,15.76,5,17,2016,9,Autumn
34,2018-10-19,Home Office,Central,Office Supplies,Paper,29.472,4,19,2018,10,Autumn
35,2017-12-08,Corporate,Central,Technology,Phones,1097.544,4,8,2017,12,Winter
36,2017-12-08,Corporate,Central,Furniture,Furnishings,190.92,4,8,2017,12,Winter
37,2016-12-27,Home Office,Central,Office Supplies,Envelopes,113.328,1,27,2016,12,Winter
38,2016-12-27,Home Office,Central,Furniture,Bookcases,532.3992,1,27,2016,12,Winter
39,2016-12-27,Home Office,Central,Furniture,Chairs,212.058,1,27,2016,12,Winter
40,2016-12-27,Home Office,Central,Technology,Phones,371.168,1,27,2016,12,Winter
41,2018-09-10,Corporate,Central,Technology,Phones,147.168,0,10,2018,9,Autumn
42,2017-07-17,Corporate,West,Office Supplies,Storage,77.88,0,17,2017,7,Summer
43,2018-09-19,Corporate,South,Office Supplies,Storage,95.616,2,19,2018,9,Autumn
44,2017-03-11,Corporate,Central,Technology,Accessories,45.98,5,11,2017,3,Spring
45,2017-03-11,Corporate,Central,Office Supplies,Binders,17.46,5,11,2017,3,Spring
46,2015-10-20,Consumer,Central,Office Supplies,Storage,211.96,1,20,2015,10,Autumn
47,2017-06-20,Consumer,East,Technology,Accessories,45.0,1,20,2017,6,Summer
48,2017-06-20,Consumer,East,Technology,Phones,21.8,1,20,2017,6,Summer
49,2016-04-18,Consumer,Central,Office Supplies,Binders,38.22,0,18,2016,4,Spring
50,2016-04-18,Consumer,Central,Office Supplies,Labels,75.18,0,18,2016,4,Spring
51,2016-04-18,Consumer,Central,Furniture,Furnishings,6.16,0,18,2016,4,Spring
52,2016-04-18,Consumer,Central,Furniture,Chairs,89.99,0,18,2016,4,Spring
53,2017-12-11,Corporate,East,Office Supplies,Fasteners,15.26,0,11,2017,12,Winter
54,2017-12-11,Corporate,East,Technology,Phones,1029.95,0,11,2017,12,Winter
55,2017-06-17,Consumer,East,Office Supplies,Storage,208.56,5,17,2017,6,Summer
56,2017-06-17,Consumer,East,Office Supplies,Paper,32.4,5,17,2017,6,Summer
57,2017-06-17,Consumer,East,Furniture,Chairs,319.41,5,17,2017,6,Summer
58,2017-06-17,Consumer,East,Office Supplies,Paper,14.56,5,17,2017,6,Summer
59,2017-06-17,Consumer,East,Technology,Accessories,30.0,5,17,2017,6,Summer
60,2017-06-17,Consumer,East,Office Supplies,Binders,48.48,5,17,2017,6,Summer
61,2017-06-17,Consumer,East,Office Supplies,Art,1.68,5,17,2017,6,Summer
62,2016-11-24,Consumer,West,Technology,Accessories,13.98,3,24,2016,11,Autumn
63,2016-11-24,Consumer,West,Office Supplies,Binders,25.824,3,24,2016,11,Autumn
64,2016-11-24,Consumer,West,Office Supplies,Paper,146.73,3,24,2016,11,Autumn
65,2016-11-24,Consumer,West,Furniture,Furnishings,79.76,3,24,2016,11,Autumn
66,2016-04-30,Home Office,Central,Furniture,Chairs,213.115,5,30,2016,4,Spring
67,2015-12-05,Corporate,West,Office Supplies,Art,1113.024,5,5,2015,12,Winter
68,2015-12-05,Corporate,West,Technology,Phones,167.968,5,5,2015,12,Winter
69,2017-06-04,Consumer,South,Office Supplies,Paper,75.88,6,4,2017,6,Summer
70,2017-09-18,Consumer,East,Office Supplies,Binders,4.616,0,18,2017,9,Autumn
71,2018-09-14,Consumer,Central,Office Supplies,Paper,19.05,4,14,2018,9,Autumn
72,2016-04-26,Consumer,South,Furniture,Chairs,831.936,1,26,2016,4,Spring
73,2016-04-26,Consumer,South,Furniture,Furnishings,97.04,1,26,2016,4,Spring
74,2016-04-26,Consumer,South,Office Supplies,Storage,72.784,1,26,2016,4,Spring
75,2018-12-09,Corporate,Central,Office Supplies,Binders,1.248,6,9,2018,12,Winter
76,2018-12-09,Corporate,Central,Furniture,Furnishings,9.708,6,9,2018,12,Winter
77,2018-12-09,Corporate,Central,Office Supplies,Storage,27.24,6,9,2018,12,Winter
78,2015-11-26,Consumer,Central,Furniture,Furnishings,19.3,3,26,2015,11,Autumn
79,2017-06-12,Corporate,South,Office Supplies,Appliances,208.16,0,12,2017,6,Summer
80,2017-06-12,Corporate,South,Office Supplies,Binders,16.74,0,12,2017,6,Summer
81,2015-10-12,Consumer,West,Office Supplies,Art,14.9,0,12,2015,10,Autumn
82,2015-10-12,Consumer,West,Office Supplies,Storage,21.39,0,12,2015,10,Autumn
83,2016-09-03,Corporate,South,Office Supplies,Envelopes,200.984,5,3,2016,9,Autumn
84,2018-11-13,Home Office,Central,Office Supplies,Storage,230.376,1,13,2018,11,Autumn
85,2018-05-28,Consumer,South,Furniture,Chairs,301.96,0,28,2018,5,Spring
86,2018-10-26,Consumer,Central,Technology,Accessories,19.99,4,26,2018,10,Autumn
87,2018-10-26,Consumer,Central,Office Supplies,Labels,6.16,4,26,2018,10,Autumn
88,2017-04-05,Home Office,Central,Office Supplies,Storage,158.368,2,5,2017,4,Spring
89,2017-09-17,Corporate,West,Office Supplies,Art,20.1,6,17,2017,9,Autumn
90,2017-09-17,Corporate,West,Technology,Phones,73.584,6,17,2017,9,Autumn
91,2017-09-17,Corporate,West,Office Supplies,Paper,6.48,6,17,2017,9,Autumn
92,2016-01-31,Consumer,Central,Office Supplies,Paper,12.96,6,31,2016,1,Winter
93,2016-01-31,Consumer,Central,Furniture,Furnishings,53.34,6,31,2016,1,Winter
94,2016-01-31,Consumer,Central,Office Supplies,Binders,32.96,6,31,2016,1,Winter
95,2018-11-06,Home Office,West,Office Supplies,Binders,5.682,1,6,2018,11,Autumn
96,2018-11-09,Home Office,East,Furniture,Furnishings,96.53,4,9,2018,11,Autumn
97,2018-06-17,Consumer,West,Office Supplies,Binders,51.312,6,17,2018,6,Summer
98,2017-09-06,Corporate,Central,Office Supplies,Appliances,77.88,2,6,2017,9,Autumn
99,2017-08-29,Home Office,Central,Office Supplies,Paper,64.624,1,29,2017,8,Summer
100,2017-08-29,Home Office,Central,Technology,Accessories,95.976,1,29,2017,8,Summer
101,2017-08-29,Home Office,Central,Office Supplies,Binders,1.788,1,29,2017,8,Summer
102,2017-12-01,Consumer,Central,Office Supplies,Paper,23.92,4,1,2017,12,Winter
103,2016-11-13,Consumer,West,Technology,Accessories,238.896,6,13,2016,11,Autumn
104,2016-11-13,Consumer,West,Furniture,Furnishings,102.36,6,13,2016,11,Autumn
105,2016-11-13,Consumer,West,Office Supplies,Binders,36.882,6,13,2016,11,Autumn
106,2018-11-23,Consumer,South,Technology,Accessories,74.112,4,23,2018,11,Autumn
107,2018-11-23,Consumer,South,Technology,Phones,27.992,4,23,2018,11,Autumn
108,2018-11-23,Consumer,South,Office Supplies,Art,3.304,4,23,2018,11,Autumn
109,2016-10-15,Home Office,Central,Technology,Accessories,339.96,5,15,2016,10,Autumn
110,2018-12-25,Corporate,East,Furniture,Furnishings,41.96,1,25,2018,12,Winter
111,2017-11-03,Consumer,Central,Office Supplies,Art,75.96,4,3,2017,11,Autumn
112,2017-11-03,Consumer,Central,Office Supplies,Binders,27.24,4,3,2017,11,Autumn
113,2015-08-25,Consumer,East,Office Supplies,Fasteners,40.096,1,25,2015,8,Summer
114,2015-08-25,Consumer,East,Office Supplies,Envelopes,4.72,1,25,2015,8,Summer
115,2015-08-25,Consumer,East,Office Supplies,Paper,23.976,1,25,2015,8,Summer
